Var1,Var2,Var3
"1,2,3,4,5,6-hexabromocyclohexane.txt.mat",644,12282
"1,2,3,4-tetrahydroisoquinoline.txt.mat",644,12282
"1,2-dichlorobenzene.txt.mat",644,12282
"1,2-propylene-glycol.txt.mat",644,12282
"1-benzylimidazole.txt.mat",644,12282
"1-methylisoquinoline.txt.mat",644,12282
"1-monopalmitin.txt.mat",644,12282
"1-phenylbiguanide.txt.mat",644,12282
"10-DEBC.txt.mat",644,12282
"10-hydroxycamptothecin.txt.mat",644,12282
"15-delta-prostaglandin-j2.txt.mat",644,12282
"16,16-dimethylprostaglandin-e2.txt.mat",644,12282
"17-beta-estradiol.txt.mat",644,12282
"17-hydroxyprogesterone-caproate.txt.mat",644,12282
"1B-NR.txt.mat",644,12282
"2-aminobenzenesulfonamide.txt.mat",644,12282
"2-aminopurine.txt.mat",644,12282
"2-aminotetralin.txt.mat",644,12282
"2-fluoropalmitic-acid.txt.mat",644,12282
"3,6-dimethoxyflavone.txt.mat",644,12282
"3-amino-benzamide.txt.mat",644,12282
"3-matida.txt.mat",644,12282
"3-methyl-GABA.txt.mat",644,12282
"4,5,6,7-tetrabromobenzotriazole.txt.mat",644,12282
"4-hydroxy-2-nonenal.txt.mat",644,12282
"4-hydroxyretinoic-acid.txt.mat",644,12282
"4-iodo-6-phenylpyrimidine.txt.mat",644,12282
"5-FP.txt.mat",644,12282
"5-aminolevulinic-acid.txt.mat",644,12282
"5-hydroxytryptophan.txt.mat",644,12282
"5-iodotubercidin.txt.mat",644,12282
"5-methoxy-alpha-methyltryptamine.txt.mat",644,12282
"5-methoxytryptamine.txt.mat",644,12282
"5-methylhydantoin.txt.mat",644,12282
"5-nonyloxytryptamine.txt.mat",644,12282
"6-aminochrysene.txt.mat",644,12282
"6-benzylaminopurine.txt.mat",644,12282
"6-hydroxytropinone.txt.mat",644,12282
"6-nitrodopamine.txt.mat",644,12282
"6-nitronorepinephrine.txt.mat",644,12282
"7,8-dihydro-L-biopterin.txt.mat",644,12282
"7-hydroxy-PIPAT.txt.mat",644,12282
"7-nitroindazole.txt.mat",644,12282
"7b-cis.txt.mat",644,12282
